ASSERTION	AAEDAAEBAwAAAAAAAECfQA==
RUN	com.ccousseran.gatling.BasicSimulation	basicsimulation	1565008639873	 	3.2.0
USER	Basic Simulation	5	START	1565008640511	1565008640511
USER	Basic Simulation	18	START	1565008640522	1565008640522
USER	Basic Simulation	23	START	1565008640527	1565008640527
USER	Basic Simulation	8	START	1565008640512	1565008640512
USER	Basic Simulation	3	START	1565008640511	1565008640511
USER	Basic Simulation	22	START	1565008640527	1565008640527
USER	Basic Simulation	25	START	1565008640560	1565008640560
USER	Basic Simulation	29	START	1565008640561	1565008640561
USER	Basic Simulation	27	START	1565008640560	1565008640560
USER	Basic Simulation	28	START	1565008640560	1565008640560
USER	Basic Simulation	26	START	1565008640560	1565008640560
USER	Basic Simulation	32	START	1565008640562	1565008640562
USER	Basic Simulation	33	START	1565008640562	1565008640562
USER	Basic Simulation	30	START	1565008640562	1565008640562
USER	Basic Simulation	31	START	1565008640562	1565008640562
USER	Basic Simulation	34	START	1565008640563	1565008640563
USER	Basic Simulation	35	START	1565008640563	1565008640563
USER	Basic Simulation	38	START	1565008640564	1565008640564
USER	Basic Simulation	37	START	1565008640563	1565008640563
USER	Basic Simulation	39	START	1565008640564	1565008640564
USER	Basic Simulation	40	START	1565008640564	1565008640564
USER	Basic Simulation	41	START	1565008640564	1565008640564
USER	Basic Simulation	42	START	1565008640564	1565008640564
USER	Basic Simulation	43	START	1565008640565	1565008640565
USER	Basic Simulation	44	START	1565008640565	1565008640565
USER	Basic Simulation	45	START	1565008640565	1565008640565
USER	Basic Simulation	17	START	1565008640522	1565008640522
USER	Basic Simulation	48	START	1565008640566	1565008640566
USER	Basic Simulation	46	START	1565008640565	1565008640565
USER	Basic Simulation	20	START	1565008640523	1565008640523
USER	Basic Simulation	50	START	1565008640566	1565008640566
USER	Basic Simulation	51	START	1565008640566	1565008640566
USER	Basic Simulation	53	START	1565008640566	1565008640566
USER	Basic Simulation	52	START	1565008640566	1565008640566
USER	Basic Simulation	54	START	1565008640567	1565008640567
USER	Basic Simulation	55	START	1565008640567	1565008640567
USER	Basic Simulation	47	START	1565008640565	1565008640565
USER	Basic Simulation	57	START	1565008640567	1565008640567
USER	Basic Simulation	56	START	1565008640567	1565008640567
USER	Basic Simulation	59	START	1565008640568	1565008640568
USER	Basic Simulation	16	START	1565008640519	1565008640519
USER	Basic Simulation	49	START	1565008640566	1565008640566
USER	Basic Simulation	60	START	1565008640568	1565008640568
USER	Basic Simulation	63	START	1565008640568	1565008640568
USER	Basic Simulation	64	START	1565008640568	1565008640568
USER	Basic Simulation	67	START	1565008640569	1565008640569
USER	Basic Simulation	66	START	1565008640569	1565008640569
USER	Basic Simulation	36	START	1565008640563	1565008640563
USER	Basic Simulation	68	START	1565008640569	1565008640569
USER	Basic Simulation	69	START	1565008640569	1565008640569
USER	Basic Simulation	19	START	1565008640527	1565008640527
USER	Basic Simulation	72	START	1565008640570	1565008640570
USER	Basic Simulation	71	START	1565008640570	1565008640570
USER	Basic Simulation	73	START	1565008640570	1565008640570
USER	Basic Simulation	58	START	1565008640567	1565008640567
USER	Basic Simulation	75	START	1565008640570	1565008640570
USER	Basic Simulation	74	START	1565008640570	1565008640570
USER	Basic Simulation	76	START	1565008640571	1565008640571
USER	Basic Simulation	77	START	1565008640571	1565008640571
USER	Basic Simulation	78	START	1565008640571	1565008640571
USER	Basic Simulation	79	START	1565008640571	1565008640571
USER	Basic Simulation	80	START	1565008640571	1565008640571
USER	Basic Simulation	81	START	1565008640572	1565008640572
USER	Basic Simulation	82	START	1565008640572	1565008640572
USER	Basic Simulation	83	START	1565008640572	1565008640572
USER	Basic Simulation	84	START	1565008640572	1565008640572
USER	Basic Simulation	85	START	1565008640572	1565008640572
USER	Basic Simulation	86	START	1565008640572	1565008640572
USER	Basic Simulation	87	START	1565008640573	1565008640573
USER	Basic Simulation	88	START	1565008640573	1565008640573
USER	Basic Simulation	14	START	1565008640522	1565008640522
USER	Basic Simulation	61	START	1565008640568	1565008640568
USER	Basic Simulation	65	START	1565008640568	1565008640568
USER	Basic Simulation	70	START	1565008640569	1565008640569
USER	Basic Simulation	62	START	1565008640568	1565008640568
